mRNA1,mRNA2,mRNA3,mRNA4,mRNA5,mRNA6,mRNA7,mRNA8
2344.42702,94.90616,87.63825,52.45829,57.13876,2093.73760,53.13904,1920.89234
2002.89874,96.89606,94.95682,57.95335,54.20756,1962.08208,48.64912,2094.11394
1903.49352,98.76338,93.36923,52.81684,57.19324,2224.69172,51.79314,1804.54487
2025.97137,102.89171,89.39750,53.81376,53.90435,2047.68198,54.37931,2047.15787
1922.47376,94.87038,93.63776,54.38795,61.89336,2056.50538,52.53148,2055.45574
2217.81685,96.50745,98.44558,52.75689,54.32508,2072.55665,54.56237,2020.63903
2180.22673,91.63892,96.22731,53.82075,58.78507,2015.55571,54.56288,1990.22206
2191.00466,96.97861,92.57585,54.75312,54.93018,2047.10334,48.95786,2018.42983
1858.80392,97.36684,96.01198,52.67502,52.33389,1945.76447,50.93109,2022.54470
1992.58472,97.22201,93.50805,47.17360,60.94628,2110.03905,50.62509,2128.99794
2017.32491,92.21515,89.94993,51.85898,55.24721,2061.75308,58.18876,2071.58897
2002.40872,98.06496,90.59550,56.47557,54.16213,2074.79081,47.84911,2048.14134
1977.85595,101.43081,92.26177,53.92893,52.64484,2216.56948,54.11063,2117.98368
1806.60719,92.36124,94.75250,52.78495,59.32709,2097.03662,51.09151,2117.43638
2063.19361,95.55832,98.85812,51.83778,61.12747,1965.10466,56.37405,1956.87948
2219.09737,99.63166,91.27729,56.70894,56.29593,2117.52016,53.32372,2011.65994
2141.94105,95.97999,91.29193,51.66311,53.14804,2023.61956,49.99169,2131.87105
2131.93999,92.16274,92.58990,53.86703,52.69127,1973.11613,55.72876,2016.77794
1931.62282,99.08724,94.78589,55.40411,54.90664,2273.45023,53.48799,2092.60292
1921.88252,96.37114,88.30233,51.86719,56.93137,2030.65396,53.87958,1945.17464
2013.68051,96.19206,96.18580,54.43171,55.06209,1964.11235,56.40959,2032.95302
2121.43454,89.83048,101.57811,51.32394,59.11093,1755.64421,49.76633,2182.30174
2137.82743,87.77961,91.29605,56.92982,53.57184,2069.43360,48.90885,2045.98023
2036.90778,101.47637,98.48337,54.01786,54.90429,1915.96387,56.61828,2058.15487
2094.83071,93.53449,100.00960,51.23693,53.52320,2176.72164,55.56642,2087.03099
2104.50263,92.01698,89.46030,55.27581,55.67631,2062.79807,55.32282,1962.92796
1990.32034,97.52355,96.81019,51.33722,56.58635,2269.84488,56.78790,2021.97211
2164.26193,94.18444,87.81212,55.76663,54.98006,1991.65526,51.78968,2146.01706
2167.95476,94.64191,91.69029,49.27513,53.28455,1965.77223,54.83306,2128.69161
2005.68734,92.52678,83.12290,52.58634,53.30896,2055.16541,51.97937,1898.16537
2248.28895,90.39543,91.08216,56.08069,55.86446,1985.89375,54.40690,2091.48037
2004.64122,99.28854,88.63542,52.25148,54.37448,2122.84624,50.58901,2073.03424
