M1,P19,P23,M2,P2,M3,P18,M4,P29,M5,M6,P4,M7,P1,M8,P12,M9,M10,P14,M11,P21,P13,M12,P26,M13,M14,P7,M15,P28,M16,M17,M18,P22,M19,P17,M20,M21,P30,M22,P8,M23,P20,M24,M25,M26,M27,M28,M29,P16,M30,P5,P3,P6,P9,P10,P11,P15,P24,P25,P27
6.06061,2.10088,1609.16683,54.45941,31.17625,1232.67243,40.52576,2026.85774,1.44551,346.28625,0.81862,2.31082,127.30300,1.19641,203.57814,45.74740,1648.55286,33.25694,0.65508,460.11248,0.69832,165.66791,1328.80859,28.28325,26.62459,27.36761,5.50693,62.69303,1.13571,1624.50612,0.63156,33.06963,36.30595,20.95945,39.39528,1376.60222,69.76943,2.69886,158.42485,0.57634,2137.74959,0.93293,2802.71272,1.03627,0.75084,0.54121,44.85334,41.30977,4.71107,23.71941,1.19490,73.82680,2908.65786,117.99228,1273.74058,39.88003,52.50666,48.09488,51.55780,32.06364,1365.91201
6.26263,2.11784,1623.57622,53.88231,31.19151,1239.49655,40.59426,2053.70520,1.43231,356.38394,0.79477,2.31197,125.69176,1.19124,205.26137,45.86754,1668.76866,33.28181,0.65484,464.56920,0.69661,165.38262,1338.39896,28.28208,26.46365,27.36712,5.53375,62.23105,1.12906,1640.29162,0.63098,33.09444,36.34844,20.70570,39.45726,1386.39107,70.34379,2.69731,161.36557,0.57217,2165.07495,0.93191,2855.80099,1.03268,0.74948,0.54026,44.96569,41.40748,4.75522,23.64901,1.20796,71.21387,2968.60489,117.84946,1281.38281,40.00875,52.07380,47.09957,51.53662,31.84544,1375.70550
6.46465,2.13404,1636.45304,53.36260,31.20401,1245.46608,40.65325,2078.35636,1.42057,366.22130,0.77322,2.31406,124.13452,1.18645,206.95345,45.97285,1687.21444,33.30251,0.65464,468.91522,0.69516,165.11701,1346.92454,28.27880,26.31748,27.36554,5.56094,61.79442,1.12344,1654.46950,0.63049,33.11507,36.38443,20.47140,39.51035,1395.05089,70.87413,2.69621,164.30719,0.56837,2190.01818,0.93107,2905.51137,1.02926,0.74831,0.53945,45.06400,41.49311,4.79699,23.58626,1.22158,68.72774,3025.29406,117.73231,1288.07782,40.12442,51.66883,46.22211,51.49775,31.65068,1384.38227
6.66667,2.14943,1647.94832,52.89489,31.21425,1250.68373,40.70405,2100.97479,1.41011,375.79792,0.75376,2.31697,122.63502,1.18199,208.64923,46.06515,1704.03369,33.31973,0.65447,473.15849,0.69394,164.87131,1354.49752,28.27402,26.18503,27.36317,5.58821,61.38217,1.11868,1667.19251,0.63008,33.13223,36.41491,20.25530,39.55582,1402.70518,71.36384,2.69540,167.25286,0.56491,2212.76335,0.93036,2952.01827,1.02600,0.74731,0.53877,45.15001,41.56826,4.83649,23.53049,1.23570,66.36864,3078.87115,117.64299,1293.93740,40.22842,51.29078,45.44974,51.44416,31.47708,1392.06335
6.86869,2.16395,1658.20030,52.47423,31.22264,1255.24073,40.74780,2121.71463,1.40079,385.11403,0.73616,2.32060,121.19576,1.17780,210.34352,46.14605,1719.36039,33.33406,0.65433,477.30493,0.69290,164.64494,1361.21935,28.26817,26.06526,27.36026,5.61533,60.99317,1.11464,1678.60117,0.62973,33.14651,36.44073,20.05617,39.59476,1409.46516,71.81602,2.69476,170.20529,0.56174,2233.48405,0.92976,2995.49304,1.02287,0.74644,0.53819,45.22526,41.63429,4.87382,23.48104,1.25026,64.13547,3129.48026,117.58272,1299.06123,40.32198,50.93855,44.77084,51.37839,31.32255,1398.85781
7.07071,2.17758,1667.33510,52.09608,31.22952,1259.21791,40.78547,2140.72057,1.39246,394.17040,0.72025,2.32484,119.81820,1.17385,212.03120,46.21696,1733.31926,33.34599,0.65421,481.35892,0.69203,164.43673,1367.18149,28.26164,25.95715,27.35701,5.64210,60.62620,1.11121,1688.82434,0.62944,33.15839,36.46259,19.87274,39.62812,1415.43080,72.23354,2.69419,173.16675,0.55882,2252.34327,0.92925,3036.10296,1.01988,0.74569,0.53770,45.29111,41.69240,4.90906,23.43730,1.26520,62.02611,3177.26290,117.55201,1303.53797,40.40622,50.61091,44.17483,51.30263,31.18513,1404.86377
7.27273,2.19033,1675.46749,51.75628,31.23515,1262.68677,40.81791,2158.12807,1.38501,402.96833,0.70585,2.32961,118.50296,1.17012,213.70737,46.27912,1746.02607,33.35591,0.65411,485.32357,0.69128,164.24512,1372.46629,28.25471,25.85973,27.35357,5.66839,60.28000,1.10829,1697.97983,0.62920,33.16827,36.48112,19.70381,39.65669,1420.69174,72.61907,2.69362,176.13910,0.55614,2269.49355,0.92881,3074.01048,1.01700,0.74504,0.53728,45.34872,41.74363,4.94233,23.39869,1.28046,60.03759,3222.35736,117.55073,1307.44629,40.48208,50.30661,43.65217,51.21878,31.06303,1410.16927
7.47475,2.20220,1682.70163,51.45105,31.23977,1265.71041,40.84584,2174.06357,1.37834,411.50959,0.69282,2.33480,117.24995,1.16658,215.36738,46.33360,1757.58802,33.36418,0.65402,489.20104,0.69064,164.06830,1377.14777,28.24761,25.77207,27.35005,5.69408,59.95330,1.10581,1706.17506,0.62900,33.17649,36.49680,19.54821,39.68116,1425.32817,72.97505,2.69298,179.12379,0.55366,2285.07718,0.92843,3109.37261,1.01424,0.74448,0.53692,45.39913,41.78886,4.97370,23.36467,1.29599,58.16630,3264.89810,117.57827,1310.85588,40.55045,50.02433,43.19431,51.12843,30.95463,1414.85317
7.67677,2.21321,1689.13183,51.17693,31.24356,1268.34445,40.86990,2188.64486,1.37236,419.79640,0.68101,2.34035,116.05851,1.16320,217.00696,46.38135,1768.10412,33.37105,0.65395,492.99280,0.69010,163.90429,1381.29230,28.24049,25.69330,27.34653,5.71908,59.64484,1.10369,1713.50771,0.62883,33.18333,36.51009,19.40483,39.70212,1429.41170,73.30374,2.69222,182.12191,0.55137,2299.22654,0.92810,3142.34048,1.01158,0.74399,0.53662,45.44323,41.82889,5.00327,23.33474,1.31171,56.40815,3305.01543,117.63361,1313.82831,40.61208,49.76279,42.79355,51.03296,30.85843,1418.98596
7.87879,2.22340,1694.84331,50.93081,31.24666,1270.63793,40.89062,2201.98128,1.36698,427.83140,0.67030,2.34620,114.92760,1.15999,218.62222,46.42320,1777.66556,33.37678,0.65388,496.69986,0.68964,163.75115,1384.95939,28.23350,25.62260,27.34308,5.74334,59.35344,1.10188,1720.06638,0.62868,33.18902,36.52134,19.27263,39.72007,1433.00624,73.60724,2.69131,185.13412,0.54924,2312.06428,0.92781,3173.05879,1.00902,0.74356,0.53636,45.48182,41.86438,5.03113,23.30845,1.32759,54.75874,3342.83491,117.71545,1316.41801,40.66768,49.52072,42.44307,50.93354,30.77312,1422.63061
8.08081,2.23279,1699.91295,50.70988,31.24920,1272.63389,40.90846,2214.17435,1.36213,435.61758,0.66059,2.35226,113.85577,1.15691,220.20966,46.45989,1786.35629,33.38155,0.65383,500.32285,0.68924,163.60690,1388.20228,28.22672,25.55921,27.33974,5.76680,59.07797,1.10034,1725.93132,0.62856,33.19376,36.53087,19.15066,39.73545,1436.16864,73.88748,2.69023,188.16076,0.54726,2323.70407,0.92756,3201.66604,1.00655,0.74318,0.53613,45.51559,41.89592,5.05736,23.28540,1.34355,53.21340,3378.47760,117.82223,1318.67290,40.71784,49.29687,42.13678,50.83117,30.69748,1425.84322
8.28283,2.24144,1704.40997,50.51157,31.25129,1274.37015,40.92383,2225.31805,1.35776,443.15830,0.65178,2.35850,112.84133,1.15396,221.76620,46.49205,1794.25343,33.38552,0.65378,503.86217,0.68890,163.46968,1391.06855,28.22023,25.50243,27.33655,5.78946,58.81735,1.09901,1731.17506,0.62846,33.19771,36.53895,19.03800,39.74862,1438.94948,74.14624,2.68897,191.20181,0.54540,2334.25082,0.92733,3228.29420,1.00417,0.74284,0.53594,45.54514,41.92403,5.08204,23.26521,1.35955,51.76732,3412.05965,117.95225,1320.63517,40.76312,49.09005,41.86929,50.72670,30.63044,1428.67372
